Comment,Designator,Footprint,LCSC
~,P29,Cap_Touch_Ring_Large_Bottom,
~,P28,Cap_Touch_Ring_Large_Bottom,
~,P27,Cap_Touch_Ring_Large_Bottom,
~,P26,Cap_Touch_Ring_Large_Bottom,
~,P25,Cap_Touch_Ring_Large_Bottom,
~,P24,Cap_Touch_Ring_Medium_Bottom,
~,P23,Cap_Touch_Ring_Medium_Bottom,
~,P22,Cap_Touch_Ring_Medium_Bottom,
~,P21,Cap_Touch_Ring_Medium_Bottom,
~,P20,Cap_Touch_Ring_Medium_Bottom,
~,P19,Cap_Touch_Ring_Medium_Bottom,
~,P18,Cap_Touch_Ring_Large,
~,P17,Cap_Touch_Ring_Large,
~,P16,Cap_Touch_Ring_Large,
~,P15,Cap_Touch_Ring_Large,
~,P14,Cap_Touch_Ring_Large,
~,P13,Cap_Touch_Ring_Large,
~,P11,Cap_Touch_Ring_Medium,
~,P10,Cap_Touch_Ring_Medium,
~,P9,Cap_Touch_Ring_Medium,
~,P8,Cap_Touch_Ring_Medium,
~,P7,Cap_Touch_Ring_Medium,
~,P6,Cap_Touch_Ring_Small,
~,P5,Cap_Touch_Ring_Small,
~,P4,Cap_Touch_Ring_Small,
~,P3,Cap_Touch_Ring_Small,
~,P2,Cap_Touch_Ring_Small,
~,P1,Cap_Touch_Ring_Small,
XLR5_Ground,J5,NEUTRIK_NC5FAH,
Conn_01x04,J4,PinHeader_1x04_P1.27mm_Vertical,
FTSH-105-01-S-DV-TR,J3,SAMTEC_FTSH-105-01-S-DV-TR,
USB_C_Receptacle_USB2.0_EDITED,J2,AMPHENOL_GSB1C41110SSHR,
Screw_Terminal_01x02,J1,PinHeader_1x02_P2.54mm_Horizontal,
LED,D39,LED_LTST-C230K,
LED,D38,LED_LTST-C230K,
LED,D37,LED_LTST-C230K,
LED,D18,LED_SunLED_XZ_Reverse_Mount,
LED,D17,LED_SunLED_XZ_Reverse_Mount,
LED,D16,LED_SunLED_XZ_Reverse_Mount,
LED,D15,LED_SunLED_XZ_Reverse_Mount,
LED,D14,LED_SunLED_XZ_Reverse_Mount,
LED,D13,LED_SunLED_XZ_Reverse_Mount,
LED,D12,LED_SunLED_XZ_Reverse_Mount,
LED,D11,LED_SunLED_XZ_Reverse_Mount,
LED,D10,LED_SunLED_XZ_Reverse_Mount,
LED,D9,LED_SunLED_XZ_Reverse_Mount,
LED,D8,LED_SunLED_XZ_Reverse_Mount,
LED,D7,LED_SunLED_XZ_Reverse_Mount,
LED,D6,LED_SunLED_XZ_Reverse_Mount,
LED,D5,LED_SunLED_XZ_Reverse_Mount,
LED,D4,LED_SunLED_XZ_Reverse_Mount,
LED,D3,D_0805_2012Metric,
LED,D2,D_0805_2012Metric,
D,D1,D_SOD-123F,
10uF,C10,C_1206_3216Metric,
1uF,C9,C_0603_1608Metric,
0.1uF,C8,C_0603_1608Metric,
0.1uF,C7,C_0603_1608Metric,
10uF,C6,C_1206_3216Metric,
1uF,C5,C_0603_1608Metric,
22uF,C4,C_1206_3216Metric,
10uF,C3,C_1206_3216Metric,
1uF,C2,C_0603_1608Metric,
10uF,C1,C_1206_3216Metric,
120R,R135,R_0603_1608Metric,
NMOS,Q34,TSOT-23,
10k,R106,R_0603_1608Metric,
AT42QT2120-SU,U12,TSSOP-20_4.4x6.5mm_P0.65mm,
47k,R134,R_0603_1608Metric,
10k,R130,R_0603_1608Metric,
10k,R129,R_0603_1608Metric,
10k,R128,R_0603_1608Metric,
10k,R127,R_0603_1608Metric,
10k,R126,R_0603_1608Metric,
10k,R125,R_0603_1608Metric,
10k,R124,R_0603_1608Metric,
10k,R123,R_0603_1608Metric,
10k,R122,R_0603_1608Metric,
74HC595,U9,TSSOP-16_4.4x5mm_P0.65mm,
74HC595,U7,TSSOP-16_4.4x5mm_P0.65mm,
AT42QT2120-SU,U10,TSSOP-20_4.4x6.5mm_P0.65mm,
AT42QT2120-SU,U11,TSSOP-20_4.4x6.5mm_P0.65mm,
470R 1/2W,R93,R_1206_3216Metric,
470R 1/2W,R71,R_1206_3216Metric,
470R 1/2W,R69,R_1206_3216Metric,
470R 1/2W,R67,R_1206_3216Metric,
470R 1/2W,R63,R_1206_3216Metric,
470R 1/2W,R61,R_1206_3216Metric,
10k,R105,R_0603_1608Metric,
10k,R104,R_0603_1608Metric,
10k,R103,R_0603_1608Metric,
10k,R102,R_0603_1608Metric,
470R 1/2W,R77,R_1206_3216Metric,
470R 1/2W,R75,R_1206_3216Metric,
47k,R121,R_0603_1608Metric,
10k,R120,R_0603_1608Metric,
10k,R118,R_0603_1608Metric,
10k,R117,R_0603_1608Metric,
10k,R116,R_0603_1608Metric,
10k,R115,R_0603_1608Metric,
10k,R114,R_0603_1608Metric,
10k,R113,R_0603_1608Metric,
10k,R112,R_0603_1608Metric,
10k,R111,R_0603_1608Metric,
10k,R110,R_0603_1608Metric,
NMOS,Q36,TSOT-23,
NMOS,Q35,TSOT-23,
NMOS,Q33,TSOT-23,
NMOS,Q32,TSOT-23,
NMOS,Q25,TSOT-23,
NMOS,Q24,TSOT-23,
NMOS,Q23,TSOT-23,
NMOS,Q22,TSOT-23,
NMOS,Q21,TSOT-23,
NMOS,Q20,TSOT-23,
NMOS,Q31,TSOT-23,
NMOS,Q30,TSOT-23,
NMOS,Q29,TSOT-23,
NMOS,Q28,TSOT-23,
NMOS,Q27,TSOT-23,
NMOS,Q26,TSOT-23,
NMOS,Q19,TSOT-23,
LED,D36,LED_LTST-C230K,
LED,D35,LED_LTST-C230K,
LED,D34,LED_LTST-C230K,
LED,D27,LED_SunLED_XZ_Reverse_Mount_Cut_Pads,
LED,D26,LED_SunLED_XZ_Reverse_Mount_Cut_Pads,
LED,D25,LED_SunLED_XZ_Reverse_Mount_Cut_Pads,
LED,D24,LED_SunLED_XZ_Reverse_Mount_Cut_Pads,
LED,D23,LED_SunLED_XZ_Reverse_Mount_Cut_Pads,
LED,D22,LED_SunLED_XZ_Reverse_Mount_Cut_Pads,
LED,D33,LED_SunLED_XZ_Reverse_Mount,
LED,D32,LED_SunLED_XZ_Reverse_Mount,
LED,D31,LED_SunLED_XZ_Reverse_Mount,
LED,D30,LED_SunLED_XZ_Reverse_Mount,
LED,D29,LED_SunLED_XZ_Reverse_Mount,
LED,D28,LED_SunLED_XZ_Reverse_Mount,
LED,D21,LED_SunLED_XZ_Reverse_Mount,
LED,D20,LED_SunLED_XZ_Reverse_Mount,
LED,D19,LED_SunLED_XZ_Reverse_Mount,
MountingHole,H1,MountingHole_3.2mm_M3,
MountingHole,H2,MountingHole_3.2mm_M3,
MountingHole,H3,MountingHole_3.2mm_M3,
MountingHole,H4,MountingHole_3.2mm_M3,
0.1uF,C19,C_0603_1608Metric,
0.1uF,C18,C_0603_1608Metric,
0.1uF,C17,C_0603_1608Metric,
0.1uF,C16,C_0603_1608Metric,
0.1uF,C15,C_0603_1608Metric,
0.1uF,C14,C_0603_1608Metric,
0.1uF,C13,C_0603_1608Metric,
0.1uF,C12,C_0603_1608Metric,
0.1uF,C11,C_0603_1608Metric,
